Issue ID,Summary,Description,Issue Type,Priority,Severity,Component,Environment,Steps to Reproduce,Expected Result,Actual Result,Status,Reporter,Assignee,Created Date,Labels,Sprint,BuildNo,TestCycleId,TotalTests,TestsPassed,TestsFailed,FoundInProduction,TimeToDetect,TesterHoursSpent,RiskScore,BugAgeDays,TestCoverage,TestDurationMins,DateOpened,DateClosed,DateReopened,CurrentStatusDuration
MMT-1001,Filters not working,The issue observed was: filters not working.,Functional Bug,High,Critical,Search,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Filters not working occurs.,Reopened,user8@igsqa.com,qa1@igsqa.com,2025-04-21,Payment,Sprint-4,v1.0.4,TCY-127,41,40,1,0,61,5,7,22,60,157,2025-04-21,2025-04-23,2025-04-25,18
MMT-1002,Mobile site not redirecting properly,The issue observed was: mobile site not redirecting properly.,Bug,High,Critical,Hotel Booking,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Mobile site not redirecting properly occurs.,Resolved,user2@igsqa.com,qa4@igsqa.com,2025-03-21,"Mobile, Crash",Sprint-5,v1.0.4,TCY-106,80,75,5,0,48,2,8,53,93,113,2025-03-21,2025-03-27,,47
MMT-1003,Flight timings mismatch,The issue observed was: flight timings mismatch.,Functional Bug,Medium,Minor,Web UI,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Flight timings mismatch occurs.,In Progress,user4@igsqa.com,qa3@igsqa.com,2025-04-23,Booking,Sprint-3,v1.0.4,TCY-108,68,62,6,0,19,9,6,20,91,169,2025-04-23,,,20
MMT-1004,User session expires too quickly,The issue observed was: user session expires too quickly.,Bug,Low,Major,Offers,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,User session expires too quickly occurs.,In Progress,user10@igsqa.com,qa1@igsqa.com,2025-04-13,"Backend, P1",Sprint-5,v1.0.5,TCY-107,95,91,4,0,4,4,6,30,84,153,2025-04-13,,,30
MMT-1005,Booking confirmation email not received,The issue observed was: booking confirmation email not received.,UI Bug,Low,Major,Payment Gateway,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Booking confirmation email not received occurs.,Resolved,user2@igsqa.com,qa5@igsqa.com,2025-03-24,Payment,Sprint-5,v1.0.3,TCY-111,37,37,0,0,35,8,5,50,99,62,2025-03-24,2025-03-28,,46
MMT-1006,Seat selection not saving,The issue observed was: seat selection not saving.,Functional Bug,High,Minor,Offers,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,Resolved,user4@igsqa.com,qa4@igsqa.com,2025-04-02,"Backend, P1",Sprint-2,v1.0.1,TCY-133,75,75,0,0,64,3,6,41,60,130,2025-04-02,2025-04-06,,37
MMT-1007,Seat selection not saving,The issue observed was: seat selection not saving.,Performance Issue,Medium,Minor,Web UI,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Seat selection not saving occurs.,In Progress,user1@igsqa.com,qa2@igsqa.com,2025-05-04,"UI, Regression",Sprint-3,v1.0.4,TCY-132,51,49,2,1,49,3,4,9,75,41,2025-05-04,,,9
MMT-1008,Mobile site not redirecting properly,The issue observed was: mobile site not redirecting properly.,Functional Bug,Low,Minor,Mobile App,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Mobile site not redirecting properly occurs.,In Progress,user2@igsqa.com,qa4@igsqa.com,2025-04-04,"Backend, P1",Sprint-3,v1.0.2,TCY-147,54,53,1,1,17,8,3,39,98,96,2025-04-04,,,39
MMT-1009,Feedback form not submitting,The issue observed was: feedback form not submitting.,Performance Issue,High,Minor,Hotel Booking,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Feedback form not submitting occurs.,Resolved,user10@igsqa.com,qa4@igsqa.com,2025-04-30,"QA, SmokeTest",Sprint-3,v1.0.4,TCY-122,71,67,4,0,44,7,6,13,64,94,2025-04-30,2025-05-02,,11
MMT-1010,Flight timings mismatch,The issue observed was: flight timings mismatch.,Bug,Medium,Critical,Offers,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Flight timings mismatch occurs.,Reopened,user8@igsqa.com,qa2@igsqa.com,2025-04-02,UX,Sprint-5,v1.0.2,TCY-123,66,57,9,0,30,4,7,41,81,103,2025-04-02,2025-04-04,2025-04-05,38
MMT-1011,Incorrect fare displayed,The issue observed was: incorrect fare displayed.,UI Bug,Medium,Major,Search,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Incorrect fare displayed occurs.,In Progress,user9@igsqa.com,qa3@igsqa.com,2025-05-01,"Backend, P1",Sprint-4,v1.0.2,TCY-136,15,10,5,0,46,10,6,12,88,72,2025-05-01,,,12
MMT-1012,PNR status not updating,The issue observed was: pnr status not updating.,Bug,Medium,Minor,Payment Gateway,Production,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,PNR status not updating occurs.,Open,user1@igsqa.com,qa3@igsqa.com,2025-04-15,"Mobile, Crash",Sprint-3,v1.0.4,TCY-134,37,31,6,0,6,11,6,28,62,73,2025-04-15,,,28
MMT-1013,Search results not loading,The issue observed was: search results not loading.,Performance Issue,Medium,Critical,Payment Gateway,UAT,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Search results not loading occurs.,Open,user4@igsqa.com,qa5@igsqa.com,2025-05-05,"UI, Regression",Sprint-5,v1.0.5,TCY-143,37,34,3,1,37,7,7,8,71,58,2025-05-05,,,8
MMT-1014,App crash on hotel booking,The issue observed was: app crash on hotel booking.,UI Bug,Low,Minor,Search,Staging,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,App crash on hotel booking occurs.,Resolved,user2@igsqa.com,qa1@igsqa.com,2025-03-14,Payment,Sprint-2,v1.0.2,TCY-139,53,47,6,1,24,11,3,60,85,170,2025-03-14,2025-03-18,,56
MMT-1015,Coupon code not applied,The issue observed was: coupon code not applied.,Bug,Medium,Minor,Offers,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,Coupon code not applied occurs.,Reopened,user1@igsqa.com,qa3@igsqa.com,2025-05-09,Payment,Sprint-4,v1.0.2,TCY-121,93,86,7,0,46,11,5,4,75,41,2025-05-09,2025-05-11,2025-05-14,-1
MMT-1016,PNR status not updating,The issue observed was: pnr status not updating.,Bug,High,Major,Offers,QA,"1. Login to the site
2. Navigate to relevant section
3. Perform the action
4. Observe the issue",System should function as per business rules.,PNR status not updating occurs.,Resolved,user8@igsqa.com,qa5@igsqa.com,2025-03-17,"Backend, P1",Sprint-2,v1.0.4,TCY-126,39,39,0,0,53,7,7,57,96,124,2025-03-17,2025-03-22,,52
